"BLACKPINK -- How You Like That M/V :-
1st day : 82,377,522( 86.3 million actual)
2nd day : 120,984,020(+38,606,498)
3rd day : 142,060,219(+21,076,199)
4th day : 160,364,538(+18,304,319)
5th day : 174,048,655(+13,684,117)
6th day : 187,014,024(+12,965,369)
7th day : 199,407,547(+12,393,523)
8th day : 211,878,872(+12,471,325)
9th day : 222,074,296(+10,195,424)
10th day : 231,167,779(+9,093,483)
11th day : 239,147,542(+7,979,763)
12th day : 246,643,534(+7,495,992)
13th day : 253,410,732(+6,767,198)
14th day : 260,043,533(+6,632,801)
15th day : 266,584,022(+6,540,489)
16th day : 272,924,757(+6,360,735)
17th day : 278,580,459(+5,655,702)
18th day : 284,164,244(+5,583,785)
19th day : 289,679,500(+5,515,256)
20th day : 294,692,906(+5,013,406)
21st day : 299,983,798(+5,290,892)
22nd day : 306,117,499(+6,133,701)
23rd day : 311,403,460(+5,285,961)
24th day : 316,214,407(+4,810,947)
25th day : 320,764,886(+4,550,479)
26th day : 325,559,217(+4,794,331)
27th day : 330,365,461(+4,806,130)
28th day : 335,225,664(+4,860,203)
29th day : 340,096,276(+4,870,612)
30th day : 345,017,484(+4,921,208)
31st day : 349,580,346(+4,562,862)
32nd day : 354,104,121(+4,523,775)
33rd day : 358,626,076(+4,521,955)
34th day : 363,072,827(+4,446,751)
35th day : 367,376,721(+4,303,894)
36th day : 371,621,634(+4,244,913)
37th day : 375,972,724(+4,351,090)
38th day : 379,825,295(+3,852,571)
39th day : 383,604,782(+3,779,487)
40th day : 387,365,362(+3,760,580)
41st day : 391,128,999(+3,763,637)
42nd day : 394,814,543(+3,685,544)
43rd day : 399,054,136(+4,239,593)
44th day : 403,315,779(+4,261,643)
45th day : 407,003,317(+3,687,538)
46th day : 410,547,415(+3,544,098)
47th day : 414,188,714(+3,641,299)
48th day : 417,792,465(+3,603,751)
49th day : 421,396,206(+3,603,741)
50th day : 425,042,181(+3,645,975)
51st day : 428,598,312(+3,556,131)
52nd day : 431,807,481(+3,209,169)
53rd day : 435,068,052(+3,260,571)
54th day : 438,318,515(+3,250,463)
55th day : 441,550,442(+3,231,927)
56th day : 444,775,033(+3,224,591)
57th day : 448,663,368(+3,888,335)
58th day : 452,385,947(+3,722,579)
59th day : 455,578,531(+3,192,584)
60th day : 458,643,082(+3,064,551)
61st day : 461,619,805(+2,976,723)
62nd day : 464,587,631(+2,967,826)
63rd day : 468,088,361(+3,500,730)
64th day : 472,482,236(+4,393,875)
65th day : 476,059,133(+3,576,897)
66th day : 479,214,704(+3,155,571)
67th day : 482,185,864(+2,971,160)
68th day : 485,120,857(+2,934,993)
69th day : 487,941,188(+2,820,331)
70th day : 490,676,630(+2,735,442)
71st day : 493,485,531(+2,808,901)
72nd day : 496,312,324(+2,826,793)
73rd day : 498,807,264(+2,494,940)
74th day : 501,516,593(+2,709,329)
75th day : 503,943,517(+2,436,924)
76th day : 506,393,410(+2,449,893)
77th day : 508,750,610(+2,357,200)
78th day : 511,126,133(+2,375,523)
79th day : 513,756,264(+2,630,131)
80th day : 516,188,724(+2,432,460)
81st day : 518,746,063(+2,557,339)
82nd day : 521,122,353(+2,376,290)
83rd day : 523,428,906(+2,306,553)
84th day : 525,887,813(+2,458,907)
85th day : 528,453,991(+2,566,178)
86th day : 531,044,576(+2,590,585)
87th day : 533,395,100(+2,350,524)
88th day : 535,679,939(+2,284,829)
89th day : 537,918,059(+2,238,120)
90th day : 540,207,017(+2,288,958)
91st day : 542,623,987(+2,416,970)
92nd day : 545,258,141(+2,634,154)
93rd day : 547,902,129(+2,643,988)
94th day : 550,137,213(+2,235,084)
95th day : 552,258,698(+2,121,485)
96th day : 554,381,805(+2,123,107)
97th day : 556,546,095(+2,164,290)
98th day : 558,955,563(+2,409,468)
99th day : 561,862,893(+2,907,330)
100th day : 564,711,618(+2,848,725)
101st day : 567,283,817(+2,572,199)
102nd day : 569,649,174(+2,365,357)
103rd day : 571,949,002(+2,299,828)
104th day : 574,051,470(+2,102,468)
105th day : 576,138,138(+2,086,668)
106th day : 578,264,716(+2,130,578)
107th day : 580,394,961(+2,130,245)
108th day : 582,293,708(+1,898,747)
109th day : 584,133,024(+1,839,316)
110th day: 585,847,041(+1,714,017)
111st day : 587,682,481(+1,835,440)
112nd day : 589,611,364(+1,928,883)
113rd day : 591,759,107(+2,147,743)
114th day : 593,904,706(+2,145,599)
115th day : 595,790,872(+1,886,166)
116th day : 597,680,446(+1,889,574)
117th day : 599,579,080(+1,898,634)
118th day : 601,566,424(+1,987,344)
119th day : 603,567,599(+2,001,175)
120th day : 605,540,166(+1,972,567)
121st day : 607,592,036(+2,051,870)
122nd day : 609,416,878(+1,824,842)
123rd day : 611,229,974(+1,813,096)
124th day : 613,002,737(+1,772,763)
125th day : 614,733,775(+1,731,038)
126th day : 616,517,688(+1,783,913)
127th day : 618,368,067(+1,850,379)
128th day : 620,134,833(+1,766,766)
129th day : 621,724,478(+1,589,645)
130th day : 623,378,780(+1,654,302)
131st day : 625,068,724(+1,689,944)
132nd day : 626,744,628(+1,675,904)
133rd day : 628,466,581(+1,721,953)
134th day : 630,257,309(+1,790,728)
135th day : 632,067,684(+1,810,375)
136th day : 633,711,624(+1,643,940)
137th day : 635,308,644(+1,597,020)
138th day : 636,925,150(+1,616,506)
139th day : 638,414,252(+1,489,102)
140th day : 639,974,622(+1,560,370)
141st day : 641,677,612(+1,702,990)
142nd day : 643,359,482(+1,681,870)
143rd day : 644,908,369(+1,548,887)
144th day : 646,480,030(+1,571,661)
145th day : 648,137,976(+1,657,946)
146th day : 649,893,083(+1,755,107)
147th day : 651,828,978(+1,935,895)
148th day : 653,882,289(+2,053,311)
149th day : 655,827,701(+1,945,412)
150th day : 657,557,284(+1,729,583)
151st day : 659,246,633(+1,689,349)
152nd day : 660,946,735(+1,700,102)
153rd day : 662,640,138(+1,693,403)
154th day : 664,308,967(+1,668,829)
155th day : 665,985,724(+1,676,757)
156th day : 667,735,729(+1,750,005)
157th day : 669,332,485(+1,596,756)
158th day : 670,919,091(+1,586,606)
159th day : 672,568,341(+1,649,250)
160th day : 674,149,738(+1,581,397)
161st day : 675,748,641(+1,598,903)
162nd day : 677,418,654(+1,670,013)
163rd day : 679,078,605(+1,659,951)
164th day : 680,580,526(+1,501,921)
165th day : 682,029,696(+1,449,170)
166th day : 683,462,369(+1,432,373)
167th day : 684,914,671(+1,452,302)
168th day : 686,348,014(+1,433,343)
169th day : 687,871,389(+1,523,375)
170th day : 689,506,505(+1,634,116)
171st day : 691,063,293(+1,556,788)
172nd day : 692,832,972(+1,769,679)
173rd day : 695,219,799(+2,386,827)
174th day : 697,037,419(+1,817,620)
175th day : 698,706,216(+1,668,797)
176th day : 700,481,234(+1,775,018)
177th day : 702,054,058(+1,572,824)
178th day : 703,437,850(+1,383,792)
179th day : 704,774,767(+1,336,917)
180th day : 706,112,512(+1,337,745)
181st day : 707,483,986(+1,371,474)
182nd day : 708,926,630(+1,442,644)
183rd day : 710,212,004(+1,285,374)
184th day : 711,539,432(+1,327,428)
185th day : 712,831,561(+1,292,129)
186th day : 714,148,933(+1,317,372)
187th day : 715,496,407(+1,347,474)
188th day : 716,905,409(+1,409,002)
189th day : 718,512,072(+1,606,663)
190th day : 719,826,089(+1,314,017)
191st day : 721,133,388(+1,307,299)
192nd day : 722,361,288(+1,227,900)
193rd day : 723,622,436(+1,261,148)
194th day : 724,922,026(+1,299,590)
195th day : 726,209,122(+1,287,096)
196th day : 727,482,396(+1,273,274)
197th day : 728,809,169(+1,326,773)
198th day : 730,171,285(+1,362,116)
199th day : 731,431,493(+1,260,208)
200th day : 732,688,488(+1,256,995)
201st day : 733,943,666(+1,255,178)
202nd day : 735,203,588(+1,259,922)
203rd day : 736,450,131(+1,246,543)
204th day : 737,745,785(+1,295,654)
205th day : 739,045,734(+1,299,949)
206th day : 740,250,767(+1,205,033)
207th day : 741,441,748(+1,190,981)
208th day : 742,700,132(+1,258,384)
209th day : 743,895,529(+1,195,397)
210th day : 745,131,452(+1,235,923)
211st day : 746,365,704(+1,234,252)
212nd day : 747,617,904(+1,252,200)
213rd day : 748,764,993(+1,147,089)
214th day : 749,939,971(+1,174,978)
215th day : 751,189,409(+1,249,438)
216th day : 752,379,763(+1,190,354)
217th day : 753,542,559(+1,162,796)
218th day : 754,692,813(+1,150,254)
219th day : 755,871,819(+1,179,006)
220th day : 756,929,407(+1,057,588)
221st day : 757,953,463(+1,024,056)
222nd day : 758,988,159(+1,034,696)
223rd day : 760,020,839(+1,032,680)
224th day : 761,106,992(+1,086,153)
225th day : 762,198,967(+1,091,975)
226th day : 763,341,976(+1,143,009)
227th day : 764,357,232(+1,015,256)
228th day : 765,424,447(+1,067,215)
229th day : 766,514,685(+1,090,238)
230th day : 767,656,750(+1,142,065)
231st day : 768,814,501(+1,157,751)
232nd day : 769,937,263(+1,122,762)
233rd day : 771,059,797(+1,122,534)
234rd day : 772,068,673(+1,008,876) 
235th day : 773,070,065(+1,001,392) 
236th day : 774,042,254(+972,189)
237th day : 775,016,484(+974, 230) 
238th day : 776,044,151(+1,027,667) 
239th day : 777,123,517(+1,079,366) 
240th day : 778,218,335(+1,094,818) 
241st day : 779,200,234(+981,899) 
242nd day : 780,220,189(+1,019,955)
243rd day : 781,265,588(+1,045,399) 
244th day : 782,323,615(+1,058,027) 
245th day : 783,416,528(+1,092,913) 
246th day : 784,558,772(+1,142,244) 
247th day : 785,707,781(+1,149,009) 
248th day : 786,754,736(+1,046,955) 
249th day : 787,760,918(+1,006,182) 
250th day : 788,782,438(+1,021,520) 
251st day : 789,803,301(+1,020,863) 
252nd day : 790,885,207(+1,081,906) 
253rd day : 792,023,160(+1,137,953) 
254th day : 793,172,296(+1,049,136) 
255th day : 794,206,875(+1,034,579) 
256th day : 795,214,163(+1,007,288) 
257th day : 796,257,273(+1,043,110) 
258th day : 797,312,975(+1,055,702) 
259th day : 798,422,551(+1,109,576) 
260th day : 799,769,997(+1,347,448) 
261st day : 801,055,067(+1,285,070) 
262nd day : 802,127,502(+1,072,435) 
263rd day : 803,170,745(+1,043,243) 
264th day : 804,107,922(+937,177) 
265th day : 805,232,027(+1,124,105) 
266th day : 806,256,269(+1,024,242) 
267th day : 807,345,029(+1,088,760) 
268th day : 808,407,707(+1,062,678) 
269th day : 809,343,460(+935,753) 
270th day : 810,321,777(+978,317)
271st day : 811,303,775(+981,998) 
272nd day : 812,260,412(+956,637) 
273rd day : 813,306,083(+1,045,671)
274th day : 814,340,513(+1,033,430)
275th day : 815,337,268(+996,755) 
276th day : 816,249,838(+912,570)
277th day : 817,144,137(+894,299)
278th day : 818,045,180(+901,043)","3.8만"
"Lisa killed it in this amazing song","1.9만"
"80Milhões de views em menos de 24horas! Eu chamaria de Rainhas!","2.6천"
"BLACKPINK como siempre hacen que sus canciones me re encante en especial los finales tan épicos. Like si eres una blink fanatica","2.9천"
"Dios si pasan más de 20 años no podré superar esta música, mis niñas las amo mucho!","14"
"""Yesterday is history""
""tomorrow is mystery""
""today is a gift.. that's why it's called present""
Let's get Hylt to 1B blinks!!","6.5천"
"BlackPink: look at you, then look at me

Me: wearing pyjamas I-- I'll go change now...","1.2천"
"¡Siempre brillando BLACKPINK!
Arriba las blinks de Latinoamérica","3.7천"
"Who is here before 200 million views?? Blinks where are you?","2.6천"
"“It is better to fail in originality
than to become success in imitation.”
-Rosé","23"
"Sigamos reproduciendo de nosotros depende minino llegarías a 900M","943"
"I personally don't like k-pop music but this fire -","1.3만"
"Even that we didn't get a rapping Jennie, even that we didn't get a ""Blackpink in your area by Jisoo, even that Rosé didn't sing high notes and even that we didn't get a dance break by Lisa, we got an amazing song with rap, vocals and a group break dance.","4.5천"
"Sigamos reproduciendo Blinks estamos cerca del billón","11"
"LISA'S RAP REALLY SNAPPED ME HEREE, HER RAP CAN PULL OFF MY WIG THO","784"
"POR NUESTRAS HERMOSAS DE ""BLACKPINK DE PARTE DE LAS BLINK""
""LLEGAMOS 1 BILLON ""
""VAMOS CON TODO""","550"
"Felicitaciones Blackpink y blinks por llegar a los 64,4
millones de suscriptores 

Blackpink in your area 
Blackpink is the revolution 
Rosé Lisa Jisoo Jennie","464"
"Once Transformania comes out, they better play this in the credits.","5"
"Sizi sevirem BLACPİNK Azerbaycanan salamlar.
Sizin butun mahnılarinizi yukleyib qulaq asiram 
Siziiiiiii sevireeeemmmmmmmmmmmmm😍😍😍😍😍😍😍😘😘😘😘😘😘","8"
"Es momento Blinks latinos de llenar la caja de comentarios de puro Español","893"
"279th day : 818,973,009(+927,829)
280th day : 819,903,304(+930,295) 
281st day : 820,881,811(+978,507) 
282nd day : 821,906,670(+1,024,859)
283rd day : 822,857,943(+951,273) 
284th day : 823,793,472(+935,529) 
285th day : 824,700,236(+906,764) 
286th day : 825,606,474(+906,238) 
287th day : 826,523,547(+917,073)
288th day : 827,498,676(+975,129) 
289th day : 828,471,696(+973,020) 
290th day : 829,382,472(+910,776)
291st day : 830,356,549(+974,077) 
292nd day : 831,300,901(+944,352) 
293rd day : 832,205,178(+904,277)
294th day : 833,127,540(+922,362) 
295th day : 834,070,586(+943,046) 
296th day : 835,016,129(+945,543) 
297th day : 835,920,091(+903,962) 
298th day : 836,823,394(+903,303) 
299th day : 837,768,038(+944,644) 
300th day : 838,718,555(+950,517) 
301st day : 839,664,082(+945,527)
302nd day : 840,759,802(+1,095,720) 
303rd day : 841,836,493(+1,076,691) 
304th day : 842,804,051(+967,558) 
305th day : 843,770,640(+966,589) 
306th day : 844,729,491(+958,851) 
307th day : 845,693,850(+964,359) 
308th day : 846,692,579(+998,729) 
309th day : 847,772,029(+1,079,450) 
310th day : 848,764,518(+992,489) 
311st day : 849,728,900(+964,382) 
312nd day : 850,753,490(+1,024,590) 
313rd day : 851,751,022(+997,532) 
314th day : 852,706,638(+955,616)
315th day : 853,617,052(+910,414) 
316th day : 854,535,067(+918,015) 
317th day : 855,432,530(+897,463)
318th day : 856,293,714(+861,184) 
319th day : 857,188,004(+894,290) 
320th day : 858,048,276(+860,272) 
321st day : 858,890,943(+842,667)
322nd day : 859,791,506(+900,563) 
323rd day : 860,727,960(+936,454) 
324th day : 861,650,156(+922,196) 
325th day : 862,511,360(+861,204) 
326th day : 863,445,871(+934,511) 
327th day : 864,422,351(+976,480) 
328th day : 865,402,231(+979,880) 
329th day : 866,409,142(+1,006,911) 
330th day : 867,522,511(+1,113,369) 
331st day : 868,654,777(+1,132,266) 
332nd day : 869,736,396(+1,081,619)
333rd day : 870,763,913(+1,027,517) 
334th day : 871,805,751(+1,041,838) 
335th day : 872,835,096(+1,029,345) 
336th day : 873,849,770(+1,014,674) 
337th day : 874,917,190(+1,067,420) 
338th day : 875,995,826(+1,078,636) 
339th day : 876,951,922(+956,096)
340th day : 877,937,161(+985,239) 
341st day : 878,911,035(+973,874) 
342nd day : 879,887,889(+976,854) 
343rd day : 880,940,971(+1,053,082) 
344th day : 881,961,304(+1,020,333) 
345th day : 882,993,476(+1,032,172) 
346th day : 883,965,040(+971,564) 
347th day : 884,927,061(+962,021) 
348th day : 885,901,200(+974,139) 
349th day : 886,848,367(+947,167)
350th day : 887,810,149(+961,782) 
351st day : 888,798,964(+988,815)
352nd day : 889,792,822(+993,858) 
353rd day : 890,707,991(+915,169) 
354th day : 891,615,482(+907,491) 
355th day : 892,528,224(+912,742) 
356th day : 893,464,751(+936,527) 
357th day : 894,370,683(+905,932)
358th day : 895,279,579(+909,896) 
359th day : 896,198,679(+919,100) 
360th day : 897,072,340(+874,661) 
361st day : 897,950,279(+877,939)
362nd day : 898,868,257(+917,978)
363rd day : 899,821,311(+953,054) 
364th day : 900,888,605(+1,067,294) 
365th day : 901,899,268(+1,010,663) 
366th day : 902,848,475(+949,207) 
367th day : 903,738,740(+890,265)
368th day : 904,613,247(+874,507)
369th day : 905,462,524(+849,277) 
370th day : 906,308,429(+845,905) 
371st day : 907,170,667(+862,238) 
372nd day : 908,022,926(+852,259)
373rd day : 908,854,741(+831,815) 
374th day : 909,649,561(+794,820)
375th day : 910,422,009(+772,448) 
376th day : 911,190,748(+768,739)
377th day : 911,969,648(+778,900) 
378th day : 912,753,792(+784,144)
379th day : 913,618,104(+864,312) 
380th day : 914,446,893(+828,789) 
381st day : 915,213,562(+766,669) 
382nd day : 916,014,364(+800,802)
383rd day : 916,785,642(+771,278) 
384th day : 917,557,498(+771,856) 
385th day : 918,357,087(+799,589)
386th day : 919,191,680(+834,593) 
387th day : 919,941,837(+750,157) 
388th day : 920,700,950(+759,123) 
389th day : 921,428,061(+727,111) 
390th day : 922,178,217(+750,156) 
391st day : 922,890,817(+712,600) 
392nd day : 923,640,387(+749,570)
393rd day : 924,389,122(+748,735) 
394th day : 925,129,264(+740,142) 
395th day : 925,807,534(+778,270) 
396th day : 926,538,775(+731,241) 
397th day : 927,250,137(+711,362) 
398th day : 927,966,237(+716,100)
399th day : 928,664,829(+698,592) 
400th day : 929,391,031(+726,202) 
401st day : 930,119,633(+728,602)
402nd day : 930,825,576(+705,943)
403rd day : 931,604,463(+778,887)
404th day : 932,354,357(+749,894) 
405th day : 933,098,914(+744,557) 
406th day : 933,826,412(+727,498) 
Blinks we should maintain atleast 1million views per day for as long as possible.
""BLACKPINK IS THE REVOLUTION""","6.6천"
" @Akash Saha  yes!!","818"
"omg your so hardworking tracking/ writing the views from it's first day until know","3천"
" @Blink-Army-Tueme-Once And many more  ikr 😤","599"
"Wow!","763"
"Thank you!","662"
" @Akash Saha  Str34m blink 1BILLON","718"
"ATTENTION !!!! Blinks on May 26 there will be massive str34ming, so that the MV HYLT reached the billion before turning one year to stream the other MVs for the billom, DIFFUNDAN BLINK INTERCALER BBY DDDD HYTL MV Y HYLT DP STR34M","914"
"WOW! 👏🏻👏🏻👏🏻👏🏻👏🏻","387"
"YESH!!! 😘😘😘","253"
"Looking you and looking me","334"
"She always do the best","359"
"You have good eyes","204"
"this song is only 3 minutes long.its a cheap tactic to get views","69"
" @Mahesh  Boombayah is 4 minutes long but it still has 900 million vi*ws so if you wanna hate on BP then get out of this comment section and support your faves","288"
"as did the rest of them :)","150"
"Yes","40"
"Blinks are the best <3","79"
"Lisa Cleopatra","75"
"Say it lauder!","48"
"DEUSAS GREGAAAAS","22"
"que que adianta se youtu.be tira 3 milhões de views não sei praqu","15"
"Vdd","6"
"Amo os comentários brasileiro","14"
"I","2"
"as próprias pátroas","5"
"xD","4"
"Vdd","3"
"PATROAS🙌","5"
"STR3AM 800M goo","4"
"Concuerdo epicos","53"
"aja","17"
"creo que estoy dudando de quien me gusta despues de ver este hpta video","29"
" @Sebastian Piragauta  XD","10"
" @Sebastian Piragauta  🤣🤣","9"
" @Josue Hernandez  hola me gusta como se mueven aparte sus canciones hay🤣😋","12"
"HOLA BLINKS  LES QUIERO DECIR QUE SI QUIEREN AYUDAR A ROSE VOTEN EN MWAVE POR FAVOR","31"
"SI QUIEREN MAS INFORMACION BUSQUEN EN UN CANAL DE YOUTUBE  LLAMADO LEEBRO,  LES VA A SALIR  UN VIDEO DE TODAS LAS CANCIONES DE BLACKPINK Y LA NUEVA CANCION DE ROSE","21"
"La verdad no soy blink pero antes si lo era pero aún así me encantan son mis diosas y BTS también son mis dioses","23"
"si soy hombre q wey :v
pero cantan geniaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaal","31"
"Ohhh i like it","56"
"Yeah man","30"
"☺️🥺","15"
"yeah","17"
" @Layan Tubaileh  ........","6"
"Let' do it","16"
"We can do it!","19"
"agreed","8"
"Go fast to let's go","19"
"oh 👀👀👀👀","3"
"bruh same lol","16"
"lmaoooo same. this is my favorite comment XD","9"
"felt that bro","2"
"Fr tho! 🤣","1"
"Do you want to hear this song but...it's ballad
[ Ballad Ver ] HOW YOU LIKE THAT - BLACKPINK | Phạm Đình Thái Ngân Cover
Paste this and search","1"
".","0"
"Ulises Silva I think they wear pajamas cuz it’s comfy?","1"
"Same😂","0"
"ATTENTION BLINKS!!!

I THINK WE SHOULD WATCH ATLEAST 2-3 TEASER POSTER OF BP.SO WE CAN GO BACK AND STREAM HYLT AT THE SHORT AMOUNT OF TIME...","1"
" @Itsmetherealzel  .","0"
"Hola blink como estas? te comparto este cover que grabamos de HYLT  en español espero te gustee ❤ https://youtu.be/v2tWhXjV-dY","55"
"Si soy","41"
"Yo","29"
"This...","18"
"yo","19"
"Yes","19"
"Yeah","16"
"uwu arriba las blinks de Latinoamerica BLACKPINK ES EL MEJOR GRUPO DE KPOP VER GIRLS","72"
"aqui yo y mis hermanas","22"
"Yo🇵🇪","16"
"me","14"
"Ofc mee blinks always ready","11"
"Maroin Entertainer Blinks can view after 2 mil. Im a blink but i watch ddu du ddu du after 1 bil so...","3"
"Let's do this before Friday 18PM KST","1"
"me","4"
"Ke","4"
"Me","3"
"🇲🇨🇲🇨🇲🇨","1"
"Me","1"
"🇮🇩","2"
"Vamooss nosotros podemos! 💪🏼💪🏼💪🏼❤❤❤","20"
"pudieran borrar los emojis por favor, congelan vistas. D:","15"
"no pongan emojis q bajan las vistas :/","12"
"También comenten que queremos más contenido de las chicas","9"
" @jenchulichae  ? como asi","2"
" @Soxft Pink  es parte de yutube, no usen emojis y escriban bien la palabra str3@m","3"
"jejeje, billon querras decir, antes de que cumpla un año cara sonriente","4"
