,Rank,Title,Artist
0,1,Stay,The Kid LAROI & Justin Bieber
1,2,신호등,이무진
2,3,OHAYO MY NIGHT,디핵 (D-Hack) & PATEKO
3,4,바라만 본다,MSG워너비 (M.O.M)
4,5,Queendom,Red Velvet (레드벨벳)
5,6,낙하 (With 아이유),AKMU (악뮤)
6,7,고백,멜로망스 (MeloMance)
7,8,Next Level,aespa
8,9,Weekend,태연 (TAEYEON)
9,10,좋아좋아,조정석
10,11,Bad Habits,Ed Sheeran
11,12,Permission to Dance,방탄소년단
12,13,DUMB DUMB,전소미
13,14,Butter,방탄소년단
14,15,비와 당신,이무진
15,16,Peaches (Feat. Daniel Caesar & Giveon),Justin Bieber
16,17,헤픈 우연,헤이즈 (Heize)
17,18,비가 오는 날엔 (2021),헤이즈 (Heize)
18,19,롤린 (Rollin'),브레이브걸스 (Brave girls)
19,20,Dynamite,방탄소년단
20,21,라일락,아이유 (IU)
21,22,Dun Dun Dance,오마이걸 (OH MY GIRL)
22,23,다정히 내 이름을 부르면,경서예지 & 전건호
23,24,하루만 더,빅마마 (Big Mama)
24,25,Celebrity,아이유 (IU)
25,26,치맛바람 (Chi Mat Ba Ram),브레이브걸스 (Brave girls)
26,27,비 오는 날 듣기 좋은 노래 (Feat. Colde),에픽하이 (EPIK HIGH)
27,28,사진을 보다가,다비치
28,29,고백,10CM
29,30,Alcohol-Free,TWICE (트와이스)
30,31,가을 우체국 앞에서,김대명
31,32,운전만해 (We Ride),브레이브걸스 (Brave girls)
32,33,안녕 (Hello),조이 (JOY)
33,34,Savage Love (Laxed - Siren Beat) (BTS Remix),Jawsh 685 & Jason Derulo & 방탄소년단
34,35,여전히 아름다운지,세븐틴 (SEVENTEEN)
35,36,아로하,조정석
36,37,Timeless,SG워너비
37,38,B.T.W (Feat. 박재범) (Prod. by Cha Cha Malone),JAY B
38,39,At My Worst,Pink Sweat$
39,40,내 손을 잡아,아이유 (IU)
40,41,사이렌 Remix (Feat. UNEDUCATED KID & Paul Blanco),호미들
41,42,상상더하기,라붐 (LABOUM)
42,43,나를 아는 사람,MSG워너비 (정상동기)
43,44,Off My Face,Justin Bieber
44,45,ASAP,STAYC (스테이씨)
45,46,추적이는 여름 비가 되어,장범준
46,47,이제 나만 믿어요,임영웅
47,48,2002,Anne-Marie
48,49,이젠 잊기로 해요 (Drama Ver.),미도와 파라솔
49,50,Blueming,아이유 (IU)
50,51,밝게 빛나는 별이 되어 비춰줄게,송이한
51,52,흔들리는 꽃들 속에서 네 샴푸향이 느껴진거야,장범준
52,53,12 : 45 (Stripped),etham
