,Rank,Title,Artist
0,1,Stay,The Kid LAROI & Justin Bieber
1,2,고백,멜로망스 (MeloMance)
2,3,신호등,이무진
3,4,Queendom,Red Velvet (레드벨벳)
4,5,OHAYO MY NIGHT,디핵 (D-Hack) & PATEKO
5,6,바라만 본다,MSG워너비 (M.O.M)
6,7,Permission to Dance,방탄소년단
7,8,낙하 (With 아이유),AKMU (악뮤)
8,9,눈물을 훔친다 (금혼령 X 김종국),김종국
9,10,Next Level,aespa
10,11,Weekend,태연 (TAEYEON)
11,12,DUMB DUMB,전소미
12,13,Bad Habits,Ed Sheeran
13,14,좋아좋아,조정석
14,15,Butter,방탄소년단
15,16,이제 나만 믿어요,임영웅
16,17,비가 오는 날엔 (2021),헤이즈 (Heize)
17,18,비와 당신,이무진
18,19,Peaches (Feat. Daniel Caesar & Giveon),Justin Bieber
19,20,별빛 같은 나의 사랑아,임영웅
20,21,헤픈 우연,헤이즈 (Heize)
21,22,롤린 (Rollin'),브레이브걸스 (Brave girls)
22,23,HERO,임영웅
23,24,라일락,아이유 (IU)
24,25,Dynamite,방탄소년단
25,26,다정히 내 이름을 부르면,경서예지 & 전건호
26,27,Dun Dun Dance,오마이걸 (OH MY GIRL)
27,28,그대라는 사치,임영웅
28,29,Hate that... (Feat. 태연),키 (KEY)
29,30,고백,10CM
30,31,하루만 더,빅마마 (Big Mama)
31,32,Outsider,비투비
32,33,소리꾼,Stray Kids (스트레이 키즈)
33,34,잊었니,임영웅
34,35,사진을 보다가,다비치
35,36,Bk Love,임영웅
36,37,비 오는 날 듣기 좋은 노래 (Feat. Colde),에픽하이 (EPIK HIGH)
37,38,Celebrity,아이유 (IU)
38,39,미워요,임영웅
39,40,치맛바람 (Chi Mat Ba Ram),브레이브걸스 (Brave girls)
40,41,여전히 아름다운지,세븐틴 (SEVENTEEN)
41,42,가을 우체국 앞에서,김대명
42,43,목로주점,임영웅
43,44,Alcohol-Free,TWICE (트와이스)
44,45,Savage Love (Laxed - Siren Beat) (BTS Remix),Jawsh 685 & Jason Derulo & 방탄소년단
45,46,다시 사랑한다면 (김필 Ver.),임영웅
46,47,안녕 (Hello),조이 (JOY)
47,48,운전만해 (We Ride),브레이브걸스 (Brave girls)
48,49,이젠 잊기로 해요 (Drama Ver.),미도와 파라솔
49,50,추적이는 여름 비가 되어,장범준
50,51,Timeless,SG워너비
51,52,At My Worst,Pink Sweat$
52,53,Off My Face,Justin Bieber
53,54,내 손을 잡아,아이유 (IU)
54,55,아로하,조정석
55,56,작은 것들을 위한 시 (Boy With Luv) (Feat. Halsey),방탄소년단
56,57,상상더하기,라붐 (LABOUM)
57,58,나를 아는 사람,MSG워너비 (정상동기)
58,59,사이렌 Remix (Feat. UNEDUCATED KID & Paul Blanco),호미들
59,60,ASAP,STAYC (스테이씨)
60,61,계단말고 엘리베이터,임영웅
61,62,DREAMER,비투비
62,63,슈퍼스타,미도와 파라솔
63,64,만개 (Prod. 신지후),김호중
64,65,회상,정경호
65,66,밝게 빛나는 별이 되어 비춰줄게,송이한
66,67,Blueming,아이유 (IU)
67,68,2002,Anne-Marie
68,69,어푸 (Ah puh),아이유 (IU)
69,70,담아 갈게,이무진
70,71,B.T.W (Feat. 박재범) (Prod. by Cha Cha Malone),JAY B
71,72,Life Goes On,방탄소년단
72,73,나보다 더 사랑해요,김호중
73,74,가까운 듯 먼 그대여,카더가든
74,75,고백,장범준
75,76,12 : 45 (Stripped),etham
76,77,상상더하기,MSG워너비
77,78,미치고 싶어,비투비
78,79,흔들리는 꽃들 속에서 네 샴푸향이 느껴진거야,장범준
79,80,"모든 날, 모든 순간 (Every day, Every Moment)",폴킴
80,81,에잇 (Prod. & Feat. SUGA of BTS),아이유 (IU)
81,82,벌써 일년 (Drama Ver.),미도와 파라솔
82,83,이대로만 (Feat. 죠지),로꼬
83,84,Kiss Me More (Feat. SZA),Doja Cat
84,85,밤하늘의 별을 (2020),경서
85,86,나는 너 좋아,장범준
