,ranking,songName,artistName,playCount,increaseCount,link
0,301,나혼자 (Alone),1503|씨스타|SISTAR|1,125372161,1042,https://www.youtube.com/watch?v=E0ZHXVp_wUE
1,302,We are Bulletproof : the Eternal,273|방탄소년단|BTS|1,78972012,1035,https://www.youtube.com/watch?v=7UWBYJjuIL0
2,303,MOVE,779|태민 (TAEMIN)|TAEMIN|1,60671495,1031,https://www.youtube.com/watch?v=rcEyUNeZqmY
3,304,Heartbeat,273|방탄소년단|BTS|1,75768224,1027,https://www.youtube.com/watch?v=aKSxbt-O6TA
4,305,Regular (English Ver.),1328|NCT 127|NCT127|1,74947303,1014,https://www.youtube.com/watch?v=gj-VU9oK2Yo
5,305,구르미 그린 달빛,1146|거미|GUMMY|1,33385000,1014,https://www.youtube.com/watch?v=XZqoLX8Gq78
6,307,"다시 난, 여기",1121|백예린|YERINBAEK|1,37862931,1013,https://www.youtube.com/watch?v=FFmdTU4Cpr8
7,308,We Go Up,1078|NCT DREAM|NCTDREAM|1,72360172,1012,https://www.youtube.com/watch?v=LV1Es22E0RI
8,309,음 (MMM),1744|TREASURE (트레저)|TREASURE|1,46788287,1009,https://www.youtube.com/watch?v=RjbNMogQw8s
9,310,THANXX,393|ATEEZ (에이티즈)|ATEEZ|1,53682087,1005,https://www.youtube.com/watch?v=K7LY9Ta0eiY
10,311,Talk & Talk,386|프로미스나인|fromis_9|1,20319118,1003,https://www.youtube.com/watch?v=BjmmvBMXbSU
11,312,The Boys,305|소녀시대 (GIRLS' GENERATION)|SNSD|1,266184192,995,https://www.youtube.com/watch?v=6pA_Tou-DPI
12,312,Candy,399|백현 (BAEKHYUN)|BAEKHYUN|1,67802743,995,https://www.youtube.com/watch?v=gmgcRWxhmqY
13,314,Never Ever,521|GOT7 (갓세븐)|GOT7|1,190995099,994,https://www.youtube.com/watch?v=IZ1t7CwfvEc
14,315,Me like yuh (k) (Feat. Hoody),1117|박재범|JayPark|1,44609903,979,https://www.youtube.com/watch?v=1hYP4rmRVKE
15,316,던디리던 (Feat. Jessi),1691|DAWN (던)|DAWN|1,27800959,976,https://www.youtube.com/watch?v=HDyKwja-htw
16,317,내 기억 속에 남아 있는 그대 모습은,740|산들|Sandeul|1,425344,966,https://www.youtube.com/watch?v=pn6qUkRvlN8
17,318,미래,316|Red Velvet (레드벨벳)|RedVelvet|1,19631408,958,https://www.youtube.com/watch?v=GTcM3qCeup0
18,319,Get Cool,377|Stray Kids (스트레이 키즈)|StrayKids|1,58659403,954,https://www.youtube.com/watch?v=BcXwZEbOvpo
19,320,Zombie,1973|퍼플키스|PURPLEKISS|1,17320312,953,https://www.youtube.com/watch?v=-UroBRG1rY8
20,321,FANTASIA,363|몬스타엑스|MONSTAX|1,47033457,949,https://www.youtube.com/watch?v=p2JzPlpA1Iw
21,322,Euphoria,273|방탄소년단|BTS|1,86504069,948,https://www.youtube.com/watch?v=kX0vO4vlJuU
