,ranking,songName,artistName,playCount,increaseCount,link
0,351,Uh-Oh,361|(여자)아이들|(G)I-DLE|1,54853834,859,https://www.youtube.com/watch?v=I66oFXdf0KU
1,352,너를 위해,1199|EXO-CBX|EXO-CBX|1,75293526,858,https://www.youtube.com/watch?v=JvjWy4saR08
2,353,NOT BY THE MOON,521|GOT7 (갓세븐)|GOT7|1,84059030,857,https://www.youtube.com/watch?v=ladClnnJhqg
3,354,최고의 행운,402|첸 (CHEN)|CHEN|1,59727706,850,https://www.youtube.com/watch?v=FC7p9v-xtm4
4,354,아니 (Any),377|Stray Kids (스트레이 키즈)|StrayKids|1,27106061,850,https://www.youtube.com/watch?v=uaJ81czm3xA
5,356,중2병,"144|딥플로우|Deepflow|1,191|팔로알토 (Paloalto)|Paloalto|1,1175|The Quiett|TheQuiett|1,1515|사이먼 도미닉|SimonDominic|1,1659|염따|YUMDDA|1",6597461,845,https://www.youtube.com/watch?v=GgwDcVagGqw
6,357,Intro : Persona,273|방탄소년단|BTS|1,84794958,844,https://www.youtube.com/watch?v=M9Uy0opVF3s
7,358,Nerves,2024|DPR IAN|DPRIAN|1,6826494,839,https://www.youtube.com/watch?v=KlEbnOZ9DZQ
8,359,All With You,813|태연 (TAEYEON)|TAEYEON|1,43569322,838,https://www.youtube.com/watch?v=8Q2mth2bX10
9,360,I LUV IT,1186|싸이 (PSY)|PSY|1,118201479,837,https://www.youtube.com/watch?v=Xvjnoagk6GU
10,361,구원자(Savior)(Feat. B.I),1163|이하이|LEEHI|1,6797812,834,https://www.youtube.com/watch?v=fDB4CkyrR4U
11,362,밤편지,385|아이유|IU|1,95443478,833,https://www.youtube.com/watch?v=BzYnNdJhZQw
12,363,MY TREASURE,1744|TREASURE (트레저)|TREASURE|1,35682827,832,https://www.youtube.com/watch?v=p9LLoijPQfg
13,364,"DESSERT (Feat. Loopy, 소연((여자)아이들))",816|효연 (HYO)|HYOYEON|1,48589486,830,https://www.youtube.com/watch?v=4VmLuWDkHYQ
14,365,Who Dat B,1634|제시 (Jessi)|Jessi|1,22547425,817,https://www.youtube.com/watch?v=zaYqW9s9Aok
15,366,Lullaby,521|GOT7 (갓세븐)|GOT7|1,122841504,814,https://www.youtube.com/watch?v=9RUeTYiJCyA
16,366,고맙다,640|세븐틴|SEVENTEEN|1,58816190,814,https://www.youtube.com/watch?v=gZItyr1SNjU
17,368,Madonna,1470|루나 (LUNA) |LUNA|1,396966,811,https://www.youtube.com/watch?v=AFJ8Qg9HqR4
18,369,그리워하다,31|비투비|BTOB|1,28249905,810,https://www.youtube.com/watch?v=wDkjWSt3HOM
19,370,멍청이(twit),824|화사 (Hwa Sa)|HwaSa|1,93787339,809,https://www.youtube.com/watch?v=ScSn235gQx0
20,371,맨정신,277|BIGBANG|BIGBANG|1,140022350,805,https://www.youtube.com/watch?v=MBNQgq56egk
21,372,Forever (약속),2023|에스파 (aespa)|aespa|1,44937837,802,https://www.youtube.com/watch?v=wog1R1d4zls
22,373,해적왕,393|ATEEZ (에이티즈)|ATEEZ|1,36196785,798,https://www.youtube.com/watch?v=RqJ1rH9M5G0
23,374,우리집,285|2PM|2PM|1,55456294,794,https://www.youtube.com/watch?v=u2pFB1dCSo4
