,title,artist,album,genre,img
0,Stay,"['The Kid LAROI', 'Justin Bieber']",Stay, 팝,https://musicmeta-phinf.pstatic.net/album/006/158/6158502.jpg?type=r480Fll&v=20210709000030
1,신호등,['이무진'],신호등, 락,https://musicmeta-phinf.pstatic.net/album/005/843/5843153.jpg?type=r480Fll&v=20210514175915
2,Next Level,['aespa'],Next Level, 댄스,https://musicmeta-phinf.pstatic.net/album/005/872/5872148.jpg?type=r480Fll&v=20210517182308
3,낙하 (with 아이유),['AKMU(악뮤)'],NEXT EPISODE, 락,https://musicmeta-phinf.pstatic.net/album/006/247/6247807.jpg?type=r480Fll&v=20210730102608
4,Weekend,['태연 (TAEYEON)'],Weekend, 댄스,https://musicmeta-phinf.pstatic.net/album/006/153/6153066.jpg?type=r480Fll&v=20210803165451
5,Queendom,['Red Velvet (레드벨벳)'],Queendom - The 6th Mini Album," 댄스,  알앤비/어반",https://musicmeta-phinf.pstatic.net/album/006/303/6303210.jpg?type=r480Fll&v=20210818181809
6,Permission to Dance,['방탄소년단'],Butter / Permission to Dance, 댄스,https://musicmeta-phinf.pstatic.net/album/006/162/6162038.jpg?type=r480Fll&v=20210709145637
7,Butter,['방탄소년단'],Butter, 댄스,https://musicmeta-phinf.pstatic.net/album/005/902/5902422.jpg?type=r480Fll&v=20210806065522
8,바라만 본다,['MSG워너비(M.O.M)'],MSG워너비 1집, 발라드,https://musicmeta-phinf.pstatic.net/album/006/086/6086678.jpg?type=r480Fll&v=20210626175914
9,DUMB DUMB,['전소미'],DUMB DUMB, 댄스,https://musicmeta-phinf.pstatic.net/album/006/254/6254892.jpg?type=r480Fll&v=20210802175911
10,Bad Habits,['Ed Sheeran'],Visiting Hours, 팝,https://musicmeta-phinf.pstatic.net/album/006/083/6083894.jpg?type=r480Fll&v=20210820110515
11,Dun Dun Dance,['오마이걸(OH MY GIRL)'],Dear OHMYGIRL, 댄스,https://musicmeta-phinf.pstatic.net/album/005/793/5793100.jpg?type=r480Fll&v=20210806065024
12,헤픈 우연,['헤이즈 (Heize)'],HAPPEN, 알앤비/어반,https://musicmeta-phinf.pstatic.net/album/005/900/5900008.jpg?type=r480Fll&v=20210520175915
13,좋아좋아,['조정석'],슬기로운 의사생활 시즌2 OST Part 5," 드라마음악,  팝락",https://musicmeta-phinf.pstatic.net/album/006/182/6182897.jpg?type=r480Fll&v=20210716115935
14,"Peaches (Feat. Daniel Caesar, Giveon)",['Justin Bieber'],Justice, 팝,https://musicmeta-phinf.pstatic.net/album/005/388/5388407.jpg?type=r480Fll&v=20210708112913
15,Alcohol-Free,['TWICE(트와이스)'],Taste of Love, 댄스,https://musicmeta-phinf.pstatic.net/album/005/993/5993240.jpg?type=r480Fll&v=20210611125911
16,라일락,['아이유(IU)'],IU 5th Album 'LILAC', 댄스,https://musicmeta-phinf.pstatic.net/album/005/211/5211473.jpg?type=r480Fll&v=20210802043027
17,Dynamite,['방탄소년단'],Dynamite (DayTime Version), 댄스,https://musicmeta-phinf.pstatic.net/album/004/820/4820425.jpg?type=r480Fll&v=20210802043027
18,비와 당신,['이무진'],슬기로운 의사생활 시즌2 OST Part 1," 드라마음악,  락",https://musicmeta-phinf.pstatic.net/album/006/028/6028689.jpg?type=r480Fll&v=20210618141204
