,제목,조회수,좋아요,싫어요,댓글수,url
0,aespa 에스파 'Next Level' MV,143757988,2642922,101868,425897,https://www.youtube.com/watch?v=4TWR90KJl84
1,[K-Choreo 8K] 에스파 직캠 'Next Level' (aespa Choreography) l @MusicBank 210625,2524191,76990,1199,2652,https://www.youtube.com/watch?v=UclzUM663vY
2,aespa 에스파 'Next Level' aespa Company ver. Dance Practice,10380255,452240,7862,19411,https://www.youtube.com/watch?v=IMpXNQ-MLT4
3,에스파 지켜!ㅣaespa 에스파 'Next Level' 음악방송 비하인드,691685,52347,678,2071,https://www.youtube.com/watch?v=FPGk1A9Op1M
4,aespa 에스파 'ep1. Black Mamba' - SM Culture Universe Behind The Scenes,1596356,120636,981,5161,https://www.youtube.com/watch?v=5PSHerY3RdU
5,aespa 에스파 'Next Level' MV Behind The Scenes,1137932,87872,870,2607,https://www.youtube.com/watch?v=sRVfjgqz0pA
6,aespa 에스파 'Next Level' Jacket Behind The Scenes,1301305,79472,741,4422,https://www.youtube.com/watch?v=j4YMtK9j_zQ
7,이번 의상은 City 느낌~🌇✨ | aespa 에스파 'Next Level' The Performance Stage Behind,921000,62007,494,2352,https://www.youtube.com/watch?v=XgFm3WMv5wI
8,That’s my nævis It’s my nævis  | Choreography video Behind The Scenes,1431331,97898,676,2405,https://www.youtube.com/watch?v=UEfDDkOiFJw
9,"(ENG sub) [쇼! 음악중심] 에스파 - 넥스트 레벨 (aespa - Next Level), MBC 210605 방송",1540063,26573,585,1398,https://www.youtube.com/watch?v=gHxIOjZrrwA
10,(Full Focused) aespa(에스파) 'Next Level' 4K | BE ORIGINAL,5817569,178338,2854,2439,https://www.youtube.com/watch?v=Yw_I29NKvbI
11,[BE ORIGINAL] aespa(에스파) 'Next Level' (Behind) (ENG SUB),391699,30628,213,893,https://www.youtube.com/watch?v=AHrUrrPTmQk
12,aespa 에스파 'Next Level' The Performance Stage #3,7392133,351298,5293,11597,https://www.youtube.com/watch?v=82CnK4M2sxo
13,aespa 에스파 'Next Level' The Performance Stage #2,8041391,348455,4716,13314,https://www.youtube.com/watch?v=hehFXvnWyKo
14,aespa 에스파 'Next Level' The Performance Stage #1,10703448,532329,13432,23503,https://www.youtube.com/watch?v=z58k37I4Crs
15,[릴레이댄스] aespa(에스파) - Next Level (4K),13398805,429926,6684,12023,https://www.youtube.com/watch?v=4bus7zF6K-Y
16,[안방1열 직캠4K] 에스파 'Next Level' 풀캠 (aespa Full Cam)│@SBS Inkigayo_2021.05.30.,2023662,57369,1298,2552,https://www.youtube.com/watch?v=8b9WiId0gMw
17,[K-Choreo 8K HDR] 에스파 직캠 'Next Level' (aespa Choreography) l @MusicBank 210528,2201175,66221,1282,2178,https://www.youtube.com/watch?v=2NR4BgNfiVY
18,aespa - Next Level (Music Bank) | KBS WORLD TV 210528,1917484,140018,2686,4936,https://www.youtube.com/watch?v=DJKrpeQootU
19,[공유] aespa - Next Level 선생님 안무 컨펌 영상 공유의 건,20587024,679873,12569,19738,https://www.youtube.com/watch?v=VZVSy8H-uzY
20,[BE ORIGINAL] aespa(에스파) 'Next Level' (4K),18623326,596814,12187,22028,https://www.youtube.com/watch?v=9xBSLI7EsTg
21,다 잘할 준비됐죠?😉 | aespa 에스파 ‘Next Level’ 응원법,692427,62049,485,2039,https://www.youtube.com/watch?v=B9Is5RIpeuI
22,에스파 세계관 흑막은 누구? 원더케이는 윈터 흑막설에 치킨 걸었음 | 에스파(aespa)_Next Level | 아이돌등판 | IDDP,2686031,70409,928,5140,https://www.youtube.com/watch?v=8rNmPbOTAis
23,[페이스캠4K] 에스파 윈터 'Next Level' (aespa WINTER FaceCam)│@SBS Inkigayo_2021.05.30.,-,-,-,-,https://www.youtube.com/watch?v=boxEVuTRFP8
24,[페이스캠4K] 에스파 지젤 'Next Level' (aespa GISELLE FaceCam)│@SBS Inkigayo_2021.05.30.,2177795,48182,369,1935,https://www.youtube.com/watch?v=nmgcgXPkX7E
25,[페이스캠4K] 에스파 닝닝 'Next Level' (aespa NINGNING FaceCam)│@SBS Inkigayo_2021.05.30.,278996,11969,127,725,https://www.youtube.com/watch?v=bQduRf0aQp0
26,[페이스캠4K] 에스파 카리나 'Next Level' (aespa KARINA FaceCam)│@SBS Inkigayo_2021.05.30.,787443,27727,252,1826,https://www.youtube.com/watch?v=PFEhy5rBUC0
27,[UNFILTERED CAM] aespa KARINA(카리나) 'Next Level' | BE ORIGINAL,1229064,33156,289,1848,https://www.youtube.com/watch?v=9y9RxcTzsC0
28,[UNFILTERED CAM] aespa NINGNING(닝닝) 'Next Level' | BE ORIGINAL,1293641,56697,677,2913,https://www.youtube.com/watch?v=hVBSsQPj9Mw
29,[UNFILTERED CAM] aespa GISELLE(지젤) 'Next Level' | BE ORIGINAL,269865,22980,267,1038,https://www.youtube.com/watch?v=OU94ZF2Iqwk
30,[UNFILTERED CAM] aespa WINTER(윈터) 'Next Level' | BE ORIGINAL,356432,28011,252,1880,https://www.youtube.com/watch?v=KAE_FYqra4c
31,SHINee TAEMIN Reaction | aespa 'Next Level' MV,958832,41319,373,1274,https://www.youtube.com/watch?v=5tPmx9vnI9w
32,SUPER JUNIOR LEETEUK Reaction | aespa ‘Next Level’ MV,1410817,126871,524,3901,https://www.youtube.com/watch?v=kxnkvTSJJhA
33,⚔️ aespa 'Next Level' MV Reaction⚔️,807850,66991,408,2168,https://www.youtube.com/watch?v=UGrpwyQH8UI
34,Next Level,2988643,238223,3272,9572,https://www.youtube.com/watch?v=YBAhQBJksMw
