idx,title_list,view_list,link_list,image_list
0,7 Years With GOT7 💚 I GOT7,조회수 180만회,https://www.youtube.com/watch?v=ipfqLJOydYg,https://i.ytimg.com/vi/ipfqLJOydYg/hqdefault.jpg?sqp=-oaymwEcCPYBEIoBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLDbz7CvW3qBefMRwU9h2ZTR55jSTg
1,"GOT7(갓세븐) ""Piece of GOT7"" EP.03",조회수 70만회,https://www.youtube.com/watch?v=MlJTwfauK-c,https://i.ytimg.com/vi/MlJTwfauK-c/hqdefault.jpg?sqp=-oaymwEcCPYBEIoBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLB46OUHgtAwItuCjWUDGoMQjCz01Q
2,"GOT7(갓세븐) ""Piece of GOT7"" EP.02",조회수 35만회,https://www.youtube.com/watch?v=4mLbRFZb4fA,https://i.ytimg.com/vi/4mLbRFZb4fA/hqdefault.jpg?sqp=-oaymwEcCPYBEIoBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLBQAzz6jIIf0kdYUD616rFBbGnbjw
3,"GOT7(갓세븐) ""Piece of GOT7"" EP.01",조회수 70만회,https://www.youtube.com/watch?v=WIljWSoab_E,https://i.ytimg.com/vi/WIljWSoab_E/hqdefault.jpg?sqp=-oaymwEcCPYBEIoBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLBFD98Zcb7hcfFNibwCYg3GYVk99A
4,"GOT7(갓세븐) ""Playground"" @ GOT7 💚 I GOT7 6TH FAN MEETING",조회수 144만회,https://www.youtube.com/watch?v=iUELZWw7Wpo,https://i.ytimg.com/vi/iUELZWw7Wpo/hqdefault.jpg?sqp=-oaymwEcCPYBEIoBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLC9HTldUbkx-rPIj3OSllogk_Ba7w
5,"GOT7(갓세븐) ""RUN AWAY"" @ GOT7 💚 I GOT7 6TH FAN MEETING",조회수 188만회,https://www.youtube.com/watch?v=q-OGvVdtxIA,https://i.ytimg.com/vi/q-OGvVdtxIA/hqdefault.jpg?sqp=-oaymwEcCPYBEIoBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLDWzSm5jwmJAydFtm_TcelnQsinUg
6,"GOT7(갓세븐) ""Breath (넌 날 숨 쉬게 해)"" @ GOT7 💚 I GOT7 6TH FAN MEETING",조회수 89만회,https://www.youtube.com/watch?v=otJMlSJ10wU,https://i.ytimg.com/vi/otJMlSJ10wU/hqdefault.jpg?sqp=-oaymwEcCPYBEIoBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLCVBvI5Yw7CcLkkWvF5doiVNMU5cA
7,"GOT7(갓세븐) ""1+1"" @ GOT7 💚 I GOT7 6TH FAN MEETING",조회수 82만회,https://www.youtube.com/watch?v=BaxvVKEVhPA,https://i.ytimg.com/vi/BaxvVKEVhPA/hqdefault.jpg?sqp=-oaymwEcCPYBEIoBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLBwRqbzkqBDgAcM3suMPl6zne8ocw
8,"GOT7(갓세븐) ""고백송"" @ GOT7 💚 I GOT7 6TH FAN MEETING",조회수 105만회,https://www.youtube.com/watch?v=BnIX0YbcTQk,https://i.ytimg.com/vi/BnIX0YbcTQk/hqdefault.jpg?sqp=-oaymwEcCPYBEIoBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLDfNG5TFWLrT_ds9J53_n5U7X8O1A
9,"GOT7(갓세븐) ""LAST PIECE"" LIVE VIDEO (Hommage ver.)",조회수 94만회,https://www.youtube.com/watch?v=cDfF25Smcpg,https://i.ytimg.com/vi/cDfF25Smcpg/hqdefault.jpg?sqp=-oaymwEcCPYBEIoBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLAUct8IQ8lkOk3XWJALsEpETYKaUw
10,"GOT7(갓세븐) MONOGRAPH ""Breath of Love : Last Piece"" EP.06",조회수 29만회,https://www.youtube.com/watch?v=-MnJUJlg5fY,https://i.ytimg.com/vi/-MnJUJlg5fY/hqdefault.jpg?sqp=-oaymwEcCPYBEIoBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLCDzdZIm4uJWkp_Tb-JTJ4Y5v17Jw
