idx,title_list,view_list,link_list,image_list
0,🤟🏻aespa 'Savage' MV Reaction🤟🏻,조회수 104만회,https://www.youtube.com/watch?v=LIkcrAhjDGo,https://i.ytimg.com/vi/LIkcrAhjDGo/hqdefault.jpg?sqp=-oaymwEcCPYBEIoBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLDpK-0vNJx6WmEKcwB0jZiyvvKwEg
1,Savage Challenge🤟 - KARINA & NINGNING,조회수 28만회,https://www.youtube.com/watch?v=YEBJ5jYDCbg,https://i.ytimg.com/vi/YEBJ5jYDCbg/hqdefault.jpg?sqp=-oaymwEcCPYBEIoBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLBd4Go7wvf6t-G5ZbK3miWMOhwq8A
2,Savage Challenge🤟 - KARINA & NINGNING,조회수 20만회,https://www.youtube.com/watch?v=x_bnQysN-5w,https://i.ytimg.com/vi/x_bnQysN-5w/hqdefault.jpg?sqp=-oaymwEcCPYBEIoBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLDhbfd_I3r_hrthjLDYpq_bx2DoqQ
3,Savage Challenge🤟 - WINTER & GISELLE,조회수 20만회,https://www.youtube.com/watch?v=hTaTINRwfpc,https://i.ytimg.com/vi/hTaTINRwfpc/hqdefault.jpg?sqp=-oaymwEcCPYBEIoBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLCi8SGfZBXl89cO1Qc7paXA3PcAxQ
4,Savage Challenge🤟 - WINTER & GISELLE,조회수 28만회,https://www.youtube.com/watch?v=A9sDoGh1UtA,https://i.ytimg.com/vi/A9sDoGh1UtA/hqdefault.jpg?sqp=-oaymwEcCPYBEIoBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLBls2Zw9-55fTQZ739M63StDu61kg
5,aespa 에스파 'Savage' Camerawork Guide for Creators,조회수 382만회,https://www.youtube.com/watch?v=kZlLTnE1y1Q,https://i.ytimg.com/vi/kZlLTnE1y1Q/hqdefault.jpg?sqp=-oaymwEcCPYBEIoBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLCMwpyi_u00mDsL1_akoTCA-7gJmQ
6,aespa 에스파 'Savage' SYNK DIVE Clip - WINTER,조회수 68만회,https://www.youtube.com/watch?v=tgXkJpBtfO8,https://i.ytimg.com/vi/tgXkJpBtfO8/hqdefault.jpg?sqp=-oaymwEcCPYBEIoBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLC-I3vtFcV90wr-5l3U22L2BQM9zg
7,aespa 에스파 'Savage' SYNK DIVE Clip - GISELLE,조회수 61만회,https://www.youtube.com/watch?v=WYIHavdhWLo,https://i.ytimg.com/vi/WYIHavdhWLo/hqdefault.jpg?sqp=-oaymwEcCPYBEIoBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLADubbiRWTlnsEYhYEVSoH2lMOFnQ
8,aespa 에스파 'Savage' SYNK DIVE Clip - NINGNING,조회수 83만회,https://www.youtube.com/watch?v=tJzax9ljOqo,https://i.ytimg.com/vi/tJzax9ljOqo/hqdefault.jpg?sqp=-oaymwEcCPYBEIoBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLBeMphpFxKbB3mpv8FV204d5y51sQ
9,aespa 에스파 'Savage' SYNK DIVE Clip - KARINA,조회수 72만회,https://www.youtube.com/watch?v=mNrIEYkWCEE,https://i.ytimg.com/vi/mNrIEYkWCEE/hqdefault.jpg?sqp=-oaymwEcCPYBEIoBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLAkxG_S0gberJNlUIq7vbs0n4PTIw
10,aespa 에스파 'Savage' P.O.S (Case Ver.) Concept Clip,조회수 64만회,https://www.youtube.com/watch?v=HGe4Xv5Zx6Q,https://i.ytimg.com/vi/HGe4Xv5Zx6Q/hqdefault.jpg?sqp=-oaymwEcCPYBEIoBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLCTofcltWTXzCrJTYmPqw0LW04HTQ
11,aespa 에스파 l 태연 TAEYEON 'Weekend' MV Reaction,조회수 101만회,https://www.youtube.com/watch?v=ntcLklotMm0,https://i.ytimg.com/vi/ntcLklotMm0/hqdefault.jpg?sqp=-oaymwEcCPYBEIoBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLDahQMAZwasWSDDGHAUVGrTn_QbcQ
12,aespa 에스파 'Next Level' aespa Company ver. Dance Practice,조회수 1177만회,https://www.youtube.com/watch?v=IMpXNQ-MLT4,https://i.ytimg.com/vi/IMpXNQ-MLT4/hqdefault.jpg?sqp=-oaymwEcCPYBEIoBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLCDPt2u44p7oG5M-aDpQXrtJk78hA
