"the lights during Karina's dance were so cool! Also their live vocals <3" "142"
"Giselle looks so gorgeous with black hair💗✨






I choose the right bias." "245"
"Winter’s visual is not joke 😲😲" "109"
"got chills when watching this live stage in 5am. They are incredible." "15"
"Thier all so beautiful.....Karina,Giselle,Winter,NingNing....saranghe" "37"
"Ningning yüksek notasi mükemmeldi ve Mikrofon acikk" "28"
"Ningning vocals 😍😌" "38"
"Woah this is bomb this group is wrecking my sanity æ❤" "0"
"I just found out that Kwangya is on the map🤣" "63"
"i never understand when haters said they didn't singing live. This is the evident" "30"
"AESPA QUEENS!💙" "17"
"Seeing karina makes me happy" "5"
"Giselle 😍😍😍" "56"
"AESPAAAAA👑💜" "30"
"Lol the beginning English text hurt my head a little, could've been worded a little better by the company lmao - no hate, just saying a massive company could've checked their grammar😂" "27"
"Вау,почему я не посмотрела это раньше?" "1"
"예뻐 ㅜ" "1"
"la voz mas hermosa del mundo es de ning ning" "7"
"Karina's intro just a chef kiss." "1"
"NEW GEN QUEENS 💖" "1"
"They are not singing live, when it is the part of Whinter it is much more noticeable" "6"
"They are not singing live" "5"
"shes my bias too and i dont regret it <3" "8"
"I know right" "4"
"she's just a living ae for me" "3"
"They are not singing live, when it is the part of Whinter it is much more noticeable" "7"
"It’s obvious they’re not singing live..." "8"
"Their vocal is pre-recorded, so this performance is half lip sync + half pre-recorded vocal, you can see different in mic, aespa are using ""Band-Aid"" mic, the mic is always provided by broadcasting company as it's cheap, and it's quality is very low. if sing live, singer will use black microphone or big black microphone, you can check IZ*ONE Fiesta Inkigayo 20200301 ~ IZ*ONE Fiesta performance at Inkigayo 20200301, half lip sync + half live ~" "0"
" @Snow Yuki Yap  just watched it. I don’t think that had any of them singing live either. If they were, the live vocals were turned down a LOT. And this is coming from someone who loves IZ*ONE." "2"
"they are middle sized company 😂" "0"
"the intro is just so MUAH" "9"
"The camera work is so poor.... The background looks amazing, they look amazing! But the camera is making it look so dull... Bruh..." "35"
"Ning Ning😍😍😍" "52"
"The camera works failed, It failed to catch the main point of the choreo.." "46"
