,ranking,songName,artistName,playCount,increaseCount,link
0,416,치맛바람 (Chi Mat Ba Ram),1994|브레이브걸스,35642514,834,https://www.youtube.com/watch?v=e70PkoJhQYM
1,472,롤린 (Rollin'),1994|브레이브걸스,7875665,670,https://www.youtube.com/watch?v=3cZrxpK2EAQ
2,505,운전만해 (We Ride),1994|브레이브걸스,9210259,617,https://www.youtube.com/watch?v=4HjcypoChfQ
3,600,술버릇 (운전만해 그후),1994|브레이브걸스,22140308,485,https://www.youtube.com/watch?v=ZIZECe-55HY
4,761,롤린 (New Version),1994|브레이브걸스,7597263,339,https://www.youtube.com/watch?v=MthLgPs7oU4
5,1612,Pool Party (Feat. 이찬 of DKB),1994|브레이브걸스,1235535,84,https://www.youtube.com/watch?v=67c2dAcOyb4
6,1943,Summer Taste,"363|몬스타엑스,393|ATEEZ (에이티즈),1505|비,1994|브레이브걸스",2268008,54,https://www.youtube.com/watch?v=BUjI4XPPfh0
7,2241,RED SUN(With 롯백),1994|브레이브걸스,3869844,37,https://www.youtube.com/watch?v=JirYow6J6MY
8,2309,변했어,1994|브레이브걸스,1606676,34,https://www.youtube.com/watch?v=0_pC3KXT2r4
9,2682,유후 (우린 아직 여름),1994|브레이브걸스,574814,21,https://www.youtube.com/watch?v=2XGOT6-0Lyo
10,2964,툭하면 (Feat. Skull),1994|브레이브걸스,643700,15,https://www.youtube.com/watch?v=AygKziSsA4s
11,3582,아나요,1994|브레이브걸스,277893,7,https://www.youtube.com/watch?v=GOgohfxl-yA
12,4717,요즘 너,1994|브레이브걸스,873168,1,https://www.youtube.com/watch?v=Rgk-wTlJNMU
13,5196,하이힐,1994|브레이브걸스,2312110,0,https://www.youtube.com/watch?v=gF2Pg5dbYN4
