,ranking,songName,artistName,playCount,increaseCount,link
0,245,닐리리맘보,283|블락비 (Block B),32281531,1606,https://www.youtube.com/watch?v=4AYJZvHeKFo
1,992,Shall We Dance,283|블락비 (Block B),29866741,214,https://www.youtube.com/watch?v=NHglTopVlKQ
2,1098,난리나,283|블락비 (Block B),22699313,169,https://www.youtube.com/watch?v=grrpg_r1Nb8
3,1135,HER,283|블락비 (Block B),31698152,162,https://www.youtube.com/watch?v=o0WCva5Stk4
4,1155,YESTERDAY,283|블락비 (Block B),30079844,158,https://www.youtube.com/watch?v=3q22SInyiX8
5,1558,Very Good,283|블락비 (Block B),29480023,91,https://www.youtube.com/watch?v=kJGcO5Une-g
6,1564,Toy,283|블락비 (Block B),33413932,90,https://www.youtube.com/watch?v=JtjxZoa_LHM
7,1885,JACKPOT,283|블락비 (Block B),21188591,59,https://www.youtube.com/watch?v=83Yscg5vtVQ
8,2337,떠나지마요,283|블락비 (Block B),5986651,33,https://www.youtube.com/watch?v=j0FrZ40fPiA
9,2549,빛이 되어줘,283|블락비 (Block B),7291877,25,https://www.youtube.com/watch?v=E4yzhCIZulM
10,3082,가서 전해,283|블락비 (Block B),4213064,13,https://www.youtube.com/watch?v=mbd0__eS_uc
11,3582,그대로 멈춰라!,283|블락비 (Block B),5458254,7,https://www.youtube.com/watch?v=ae_vi3hM6K0
12,4392,눈감아줄께,283|블락비 (Block B),1456677,2,https://www.youtube.com/watch?v=TqeeNIZ57v4
13,5196,몇 년 후에,283|블락비 (Block B),11828647,0,https://www.youtube.com/watch?v=qqqRn0l0PKE
