,ranking,songName,artistName,playCount,increaseCount,link
0,729,FACE,284|뉴이스트,122726671,367,https://www.youtube.com/watch?v=gyXy0m-4bvE
1,1172,INSIDE OUT,284|뉴이스트,12448356,155,https://www.youtube.com/watch?v=AIyarEsQvAg
2,1348,I’m in Trouble,284|뉴이스트,23534666,121,https://www.youtube.com/watch?v=4Lm9u-iXrDc
3,1564,BET BET,284|뉴이스트,22613376,90,https://www.youtube.com/watch?v=S4zXetyhuxc
4,1636,여보세요,284|뉴이스트,24024607,81,https://www.youtube.com/watch?v=MwlKalNwGdk
5,1780,Good Bye Bye,284|뉴이스트,14647170,67,https://www.youtube.com/watch?v=6G5TuESCdLw
6,1827,LOVE ME,284|뉴이스트,12793133,63,https://www.youtube.com/watch?v=m5kOBOfoySA
7,2381,여왕의 기사,284|뉴이스트,11091089,31,https://www.youtube.com/watch?v=Y9XXGztRM4Y
8,2381,Daybreak (Minhyun&JR),284|뉴이스트,4389456,31,https://www.youtube.com/watch?v=bBnWklKfYN0
9,2964,Love Paint (every afternoon),284|뉴이스트,6439955,15,https://www.youtube.com/watch?v=Ee15gbUiqfs
10,3394,HELP ME,"284|뉴이스트,1238|뉴이스트 W",6561340,9,https://www.youtube.com/watch?v=TrIkYfYc3Ks
11,4159,Let's Love (with Spoonz),284|뉴이스트,5171849,3,https://www.youtube.com/watch?v=HnMuCf2XR-M
12,4392,Sandy,284|뉴이스트,3142848,2,https://www.youtube.com/watch?v=Rn1ILpMOGz4
13,4717,흰눈 사이로 하이힐 타고,284|뉴이스트,852804,1,https://www.youtube.com/watch?v=us1EjTo80WE
14,5196,Action,284|뉴이스트,30509338,0,https://www.youtube.com/watch?v=JRG_ZA0oPcA
15,5196,잠꼬대,284|뉴이스트,13204242,0,https://www.youtube.com/watch?v=6UyMeMyJ2yg
16,5196,Not Over You,284|뉴이스트,3920349,0,https://www.youtube.com/watch?v=1zUE8BhMHBE
17,5196,I`m Bad,284|뉴이스트,3554803,0,https://www.youtube.com/watch?v=nFGmvS8SejY
18,5196,Fine Girl,284|뉴이스트,3302485,0,https://www.youtube.com/watch?v=HzTnBbYogPM
19,5196,Judgement,284|뉴이스트,333215,0,https://www.youtube.com/watch?v=O6lbD4CksFI
