,ranking,songName,artistName,playCount,increaseCount,link
0,35,DDARA,301|골든차일드,4205138,14090,https://www.youtube.com/watch?v=2OGmEM-hExU
1,1025,Ra Pam Pam,301|골든차일드,31931682,200,https://www.youtube.com/watch?v=PZL5MYD9oRQ
2,1624,One(Lucid Dream),301|골든차일드,16583427,83,https://www.youtube.com/watch?v=4zp8jzIgRRY
3,2223,Pump It Up,301|골든차일드,5581187,38,https://www.youtube.com/watch?v=L6fODMCfIJ4
4,2398,WANNABE,301|골든차일드,11593946,30,https://www.youtube.com/watch?v=knIBy6fKR5Y
5,2424,Without You,301|골든차일드,10686988,29,https://www.youtube.com/watch?v=YYAPV2Dejh4
6,2486,안아줄게(Burn It),301|골든차일드,5416653,27,https://www.youtube.com/watch?v=lDWM2QnPPAY
7,2682,Genie,301|골든차일드,1620920,21,https://www.youtube.com/watch?v=PUvLe9Gucfc
8,2808,그러다 봄,301|골든차일드,1024744,18,https://www.youtube.com/watch?v=q7VX_rToJfI
9,3015,담다디,301|골든차일드,5002827,14,https://www.youtube.com/watch?v=lpMdr_5bygo
10,3226,Breathe,301|골든차일드,670183,11,https://www.youtube.com/watch?v=5AI9c9CsxEI
11,3394,"이어달리기 (Sung by 김성규(인피니트)&러블리즈&골든차일드&로켓펀치&Woollim Rookie (차준호, 황윤성, 김동윤, 주창욱, 이협, 김민서))","301|골든차일드,312|러블리즈,732|김성규,1426|로켓펀치 (Rocket Punch)",4345162,9,https://www.youtube.com/watch?v=4YxSTlK122I
12,3488,너라고 (It`s U),301|골든차일드,3121835,8,https://www.youtube.com/watch?v=Ji7zaGcCetU
13,3801,LADY,301|골든차일드,1701047,5,https://www.youtube.com/watch?v=dnXc0UQ1zq0
14,3966,너라고 (It`s U),301|골든차일드,1571936,4,https://www.youtube.com/watch?v=fq56d1YiLFE
15,4392,"모든 날 (Harmony ver) (Sung by Y, 지범, 주찬)",301|골든차일드,4369,2,https://www.youtube.com/watch?v=vwAWtwEDccY
16,4717,LET ME,301|골든차일드,2563562,1,https://www.youtube.com/watch?v=mGdsghfV1ow
17,4717,LET ME,301|골든차일드,2363643,1,https://www.youtube.com/watch?v=3mnn_3RrlE8
18,4717,순천의 하늘 아래에서,"301|골든차일드,312|러블리즈",22681,1,https://www.youtube.com/watch?v=9aUR-el3uEM
19,5196,Pump It Up,301|골든차일드,4313875,0,https://www.youtube.com/watch?v=nE3jUnYNFds
20,5196,순천의 하늘 아래에서,"301|골든차일드,312|러블리즈",61152,0,https://www.youtube.com/watch?v=oqT7s_JT0hA
21,5196,"Come With Me (Sung by Y, 지범)",301|골든차일드,60121,0,https://www.youtube.com/watch?v=RYsIiwBS3So
