,ranking,songName,artistName,playCount,increaseCount,link
0,64,HIP,307|마마무(Mamamoo),293085759,8207,https://www.youtube.com/watch?v=KhTeiaCezwM
1,158,별이 빛나는 밤,307|마마무(Mamamoo),111164672,2899,https://www.youtube.com/watch?v=LjUXm0Zy_dk
2,162,AYA,307|마마무(Mamamoo),72192476,2829,https://www.youtube.com/watch?v=UoI9riNffEU
3,173,하늘 땅 바다만큼 (mumumumuch),307|마마무(Mamamoo),12416049,2440,https://www.youtube.com/watch?v=ajxfoVrXdKw
4,192,딩가딩가 (Dingga),307|마마무(Mamamoo),62171419,2227,https://www.youtube.com/watch?v=dfl9KIX1WpU
5,381,Wind flower,307|마마무(Mamamoo),46987841,938,https://www.youtube.com/watch?v=uOZ2r_UAfdc
6,393,너나 해 (Egotistic),307|마마무(Mamamoo),111078812,906,https://www.youtube.com/watch?v=pHtxTSiPh5I
7,522,별이 빛나는 밤,307|마마무(Mamamoo),81097625,598,https://www.youtube.com/watch?v=0FB2EoKTK_Q
8,728,Where Are We Now,307|마마무(Mamamoo),12913986,368,https://www.youtube.com/watch?v=zzk09ESX7e0
9,733,고고베베 (gogobebe),307|마마무(Mamamoo),65211150,362,https://www.youtube.com/watch?v=Cp56JdkmE9s
10,870,Decalcomanie (데칼코마니),307|마마무(Mamamoo),41527314,271,https://www.youtube.com/watch?v=y2OFPvYxZuY
11,887,WANNA BE MYSELF,307|마마무(Mamamoo),26428482,261,https://www.youtube.com/watch?v=sk-qyR224fU
12,1123,다 빛이나 (Gleam),307|마마무(Mamamoo),19988299,164,https://www.youtube.com/watch?v=uIAScvNDQpI
13,1244,Double Trouble Couple,307|마마무(Mamamoo),11230524,141,https://www.youtube.com/watch?v=W9Ln7EqNCTw
14,1249,넌 is 뭔들,307|마마무(Mamamoo),42218940,140,https://www.youtube.com/watch?v=QbhmTM1cRro
15,1281,Mr.애매모호,307|마마무(Mamamoo),10136158,132,https://www.youtube.com/watch?v=D15-XYRubsc
16,1327,하늘 땅 바다만큼 (mumumumuch),307|마마무(Mamamoo),471684,125,https://www.youtube.com/watch?v=eD-j4zXxTqQ
17,1335,덤덤해지네 (Solo 화사),307|마마무(Mamamoo),7328231,123,https://www.youtube.com/watch?v=7kgV7Hrb-1c
18,1342,"아재개그 (Narr. 김대희, 김준호)",307|마마무(Mamamoo),19475691,122,https://www.youtube.com/watch?v=4Les0OrRuZ0
19,1352,음오아예 (Um Oh Ah Yeh),307|마마무(Mamamoo),42059396,120,https://www.youtube.com/watch?v=pFuJAIMQjHk
20,1517,놓지 않을게,307|마마무(Mamamoo),3251250,96,https://www.youtube.com/watch?v=0H3KxbnoIxU
21,1759,AYA,307|마마무(Mamamoo),6736706,69,https://www.youtube.com/watch?v=jD_qe-ew-O0
22,2241,1cm의 자존심,307|마마무(Mamamoo),23727689,37,https://www.youtube.com/watch?v=h41Rrk_6rzs
23,2424,행복하지마,"307|마마무(Mamamoo),1218|범키",3597032,29,https://www.youtube.com/watch?v=mMYDxR26970
24,2456,Piano Man,307|마마무(Mamamoo),17331402,28,https://www.youtube.com/watch?v=3IIBVnn4eTM
25,2486,기대해도 좋은 날,307|마마무(Mamamoo),7642593,27,https://www.youtube.com/watch?v=_eCJOj4NLlg
26,2549,칠해줘,307|마마무(Mamamoo),6435693,25,https://www.youtube.com/watch?v=S10azlzvS_8
27,3082,썸남썸녀 (Feat. 휘성),"307|마마무(Mamamoo),1118|케이윌",3893456,13,https://www.youtube.com/watch?v=R0W-voiYpQk
28,3303,별 바람 꽃 태양,307|마마무(Mamamoo),3966941,10,https://www.youtube.com/watch?v=kLeBQWw11yw
29,3303,Where Are We Now,307|마마무(Mamamoo),1606083,10,https://www.youtube.com/watch?v=OvsODwI9lbM
30,3394,AHH OOP! (아훕!),"307|마마무(Mamamoo),1519|에스나 (eSNa)",6915482,9,https://www.youtube.com/watch?v=JoqLnkcjZmQ
31,3394,매일 봐요,307|마마무(Mamamoo),1880035,9,https://www.youtube.com/watch?v=LbWt67vVNgc
32,3693,하늘하늘 (청순) (Sky! Sky!),307|마마무(Mamamoo),735512,6,https://www.youtube.com/watch?v=I-ORE0PR2zk
33,3693,내 눈 속엔 너 (My Everything),307|마마무(Mamamoo),514852,6,https://www.youtube.com/watch?v=JprirXon4yo
34,3693,나만의 Recipe,307|마마무(Mamamoo),438075,6,https://www.youtube.com/watch?v=TRzTZs3Fqik
35,3966,Girl Crush,307|마마무(Mamamoo),2453317,4,https://www.youtube.com/watch?v=8VqixYI3rKA
36,3966,고향이,307|마마무(Mamamoo),431514,4,https://www.youtube.com/watch?v=WJawlFRl3Mg
37,4717,Angel (솔라 & 휘인),307|마마무(Mamamoo),1022942,1,https://www.youtube.com/watch?v=6pl3BZ-3WBs
38,4717,WOW,307|마마무(Mamamoo),370836,1,https://www.youtube.com/watch?v=SdD-rXFC5e4
39,5196,나로 말할 것 같으면 (Yes I am),307|마마무(Mamamoo),37429998,0,https://www.youtube.com/watch?v=Ue9NG1hAr78
40,5196,NEW YORK,307|마마무(Mamamoo),4941868,0,https://www.youtube.com/watch?v=OucgyzOKLWM
41,5196,그리고 그리고 그려봐,307|마마무(Mamamoo),1290763,0,https://www.youtube.com/watch?v=AnuhhDqglxQ
42,5196,DAB DAB (문별 & 화사),307|마마무(Mamamoo),860744,0,https://www.youtube.com/watch?v=SA6HAKFztz0
