,ranking,songName,artistName,playCount,increaseCount,link
0,41,Queendom,316|Red Velvet (레드벨벳),74844801,13138,https://www.youtube.com/watch?v=c9RzZpV460k
1,77,Psycho,316|Red Velvet (레드벨벳),305974954,7124,https://www.youtube.com/watch?v=uR8Mrt1IpXg
2,100,Bad Boy,316|Red Velvet (레드벨벳),336853542,5396,https://www.youtube.com/watch?v=J_CFBjAyPWE
3,156,러시안 룰렛 (Russian Roulette),316|Red Velvet (레드벨벳),216414802,2921,https://www.youtube.com/watch?v=QslJYDX3o8s
4,205,피카부 (Peek-A-Boo),316|Red Velvet (레드벨벳),211944182,2127,https://www.youtube.com/watch?v=6uJf2IT2Zh8
5,209,미래,316|Red Velvet (레드벨벳),19650184,1984,https://www.youtube.com/watch?v=GTcM3qCeup0
6,243,빨간 맛 (Red Flavor),316|Red Velvet (레드벨벳),182855971,1630,https://www.youtube.com/watch?v=WyiIGEHQP8o
7,403,Power Up,316|Red Velvet (레드벨벳),116153316,873,https://www.youtube.com/watch?v=aiHSVQy9xN8
8,419,짐살라빔 (Zimzalabim),316|Red Velvet (레드벨벳),93796390,831,https://www.youtube.com/watch?v=YBnGBb1wg98
9,515,Dumb Dumb,316|Red Velvet (레드벨벳),143327461,607,https://www.youtube.com/watch?v=XGdbaEDVWp0
10,518,RBB (Really Bad Boy),316|Red Velvet (레드벨벳),69895718,602,https://www.youtube.com/watch?v=IWJUPY-2EIM
11,529,Ice Cream Cake,316|Red Velvet (레드벨벳),128462347,587,https://www.youtube.com/watch?v=glXgSSOKlls
12,530,음파음파 (Umpah Umpah),316|Red Velvet (레드벨벳),45513079,586,https://www.youtube.com/watch?v=vHS9E6JFja8
13,722,행복 (Happiness),316|Red Velvet (레드벨벳),105819173,373,https://www.youtube.com/watch?v=JFgv8bKfxEs
14,865,Rookie,316|Red Velvet (레드벨벳),71294775,275,https://www.youtube.com/watch?v=J0h8-OTC38I
15,1054,Automatic,316|Red Velvet (레드벨벳),25952827,184,https://www.youtube.com/watch?v=px2Q47O0_eE
16,1177,Be Natural (Feat. SR14B `TAEYONG (태용)`),316|Red Velvet (레드벨벳),30582994,154,https://www.youtube.com/watch?v=QpAn9ryoB4Y
17,1352,7월 7일 (One Of These Nights),316|Red Velvet (레드벨벳),27654354,120,https://www.youtube.com/watch?v=9xWiro_tS1k
18,1480,I Just,316|Red Velvet (레드벨벳),6551177,101,https://www.youtube.com/watch?v=oCvw4ot1-k8
19,1666,Would U,316|Red Velvet (레드벨벳),13753173,79,https://www.youtube.com/watch?v=Nu7OmSqHVng
20,1842,Milky Way,316|Red Velvet (레드벨벳),7530094,62,https://www.youtube.com/watch?v=BxZVxFGTQNU
21,1983,환생 (Rebirth),316|Red Velvet (레드벨벳),8468345,51,https://www.youtube.com/watch?v=bLtRsfnTnlU
