,ranking,songName,artistName,playCount,increaseCount,link
0,409,GAMBLER,363|몬스타엑스,37481670,858,https://www.youtube.com/watch?v=yY13X0BKaUw
1,418,Love Killa,363|몬스타엑스,45948308,832,https://www.youtube.com/watch?v=-ToHbHcolfA
2,497,HERO (Broadcasting Ver.),363|몬스타엑스,122597583,630,https://www.youtube.com/watch?v=FZ9lJ5ctd0s
3,649,Shoot Out,363|몬스타엑스,65984720,434,https://www.youtube.com/watch?v=MS10Zz49FHE
4,714,Follow,363|몬스타엑스,41259879,377,https://www.youtube.com/watch?v=aa7hl8A0tAY
5,756,FANTASIA,363|몬스타엑스,47038659,347,https://www.youtube.com/watch?v=p2JzPlpA1Iw
6,810,DRAMARAMA,363|몬스타엑스,51693666,301,https://www.youtube.com/watch?v=r1afdZk0qcI
7,867,아름다워 (Beautiful),363|몬스타엑스,56419152,273,https://www.youtube.com/watch?v=f5Zedh_5DDM
8,893,Alligator,363|몬스타엑스,41420279,259,https://www.youtube.com/watch?v=3C3hIJg4rHo
9,898,Jealousy,363|몬스타엑스,36412765,257,https://www.youtube.com/watch?v=TSA9VZduuZ4
10,1114,걸어 (All in),363|몬스타엑스,25805088,166,https://www.youtube.com/watch?v=wNxPGbk-gwA
11,1189,SHINE FOREVER,363|몬스타엑스,23443713,152,https://www.youtube.com/watch?v=iewWMqeMpqU
12,1558,네게만 집착해,363|몬스타엑스,25564057,91,https://www.youtube.com/watch?v=ro74Ki2jsNg
13,1632,무단침입 (Trespass),363|몬스타엑스,24041788,82,https://www.youtube.com/watch?v=WLeFYKDtw1I
14,1728,Fighter,363|몬스타엑스,13965591,72,https://www.youtube.com/watch?v=5jTtU9VNALs
15,1943,Summer Taste,"363|몬스타엑스,393|ATEEZ (에이티즈),1505|비,1994|브레이브걸스",2268008,54,https://www.youtube.com/watch?v=BUjI4XPPfh0
16,1973,Find you,363|몬스타엑스,5541424,52,https://www.youtube.com/watch?v=SRSBHbmV7hM
17,2013,뉴튼 (NEWTON),363|몬스타엑스,8122266,49,https://www.youtube.com/watch?v=TFk0M_Jhr_A
18,2337,신속히 (RUSH),363|몬스타엑스,20535425,33,https://www.youtube.com/watch?v=bSo7gYXp-bA
19,2723,Do Better,"318|우주소녀,363|몬스타엑스",3429316,20,https://www.youtube.com/watch?v=1JX48ClBg9E
20,3394,인터스텔라 (Feat. Yella Diamond),363|몬스타엑스,2319209,9,https://www.youtube.com/watch?v=dBUWcM2TBpM
21,3488,0 (YOUNG) (Feat. 노머시),"363|몬스타엑스,1116|기리보이,1136|매드클라운 ,1384|주영",7406567,8,https://www.youtube.com/watch?v=FeDeDnwJlB0
22,3488,벌써 크리스마스,"15|소유 (SOYOU),16|브라더수,297|보이프렌드,318|우주소녀,363|몬스타엑스,373|정세운,1118|케이윌,1234|마인드유",1721941,8,https://www.youtube.com/watch?v=2N-5zDjIEzA
23,3693,사르르 (Softly),"16|브라더수,238|정기고,297|보이프렌드,363|몬스타엑스,868|엑시 (우주소녀),1118|케이윌,1136|매드클라운 ,1384|주영,1503|씨스타",1371670,6,https://www.youtube.com/watch?v=4L1R0euKctg
24,3966,그놈의 크리스마스 (Lonely Christmas),363|몬스타엑스,961732,4,https://www.youtube.com/watch?v=bUMWiiOlee4
25,4159,Love Killa,363|몬스타엑스,1820359,3,https://www.youtube.com/watch?v=UOCPm8qa0Lc
26,4159,크리스마스데이 (Christmas Day),"15|소유 (SOYOU),16|브라더수,238|정기고,297|보이프렌드,318|우주소녀,363|몬스타엑스,373|정세운,1118|케이윌,1136|매드클라운 ,1234|마인드유",645565,3,https://www.youtube.com/watch?v=qFgZcjeWciw
27,4392,Pepsi For The Love Of It,363|몬스타엑스,9934702,2,https://www.youtube.com/watch?v=IPxSQTRLss0
28,5196,히읗 (Feat. 노머시),"238|정기고,363|몬스타엑스,1415|그냥노창,1416|BILL STAX (빌스택스)",2048649,0,https://www.youtube.com/watch?v=9cQDsJqyNNc
29,5196,부나비 (The Tiger Moth),363|몬스타엑스,754619,0,https://www.youtube.com/watch?v=61e4X5RZJpI
30,5196,0 (YOUNG) (Feat. 노머시),"363|몬스타엑스,1116|기리보이,1136|매드클라운 ,1384|주영",673702,0,https://www.youtube.com/watch?v=Q64GvPmvG8c
31,5196,무모하고 대책없지만 (with TTG),363|몬스타엑스,223945,0,https://www.youtube.com/watch?v=P7F1Tiyo_p8
