,ranking,songName,artistName,playCount,increaseCount,link
0,226,THRILL RIDE,371|더보이즈(THE BOYZ),33247023,1769,https://www.youtube.com/watch?v=XMs2CIiqRDI
1,575,The Stealer,371|더보이즈(THE BOYZ),28485161,517,https://www.youtube.com/watch?v=c_e-IC0VwZM
2,1003,REVEAL,371|더보이즈(THE BOYZ),25934324,209,https://www.youtube.com/watch?v=PugZA26sj-8
3,1114,No Air,371|더보이즈(THE BOYZ),30334502,166,https://www.youtube.com/watch?v=8n6pRkpVsyU
4,1446,Christmassy!,371|더보이즈(THE BOYZ),4631823,105,https://www.youtube.com/watch?v=dcW47LstjWk
5,1666,Christmassy!,371|더보이즈(THE BOYZ),2081258,79,https://www.youtube.com/watch?v=lVDYdpl2sGI
6,1759,소년 (Boy),371|더보이즈(THE BOYZ),11337442,69,https://www.youtube.com/watch?v=yuk0LHFSlR8
7,1798,Bloom Bloom,371|더보이즈(THE BOYZ),13602861,66,https://www.youtube.com/watch?v=Ty_3Vyqrlr4
8,1956,Giddy Up,371|더보이즈(THE BOYZ),17925770,53,https://www.youtube.com/watch?v=DNH7X46gMjQ
9,2140,D.D.D,371|더보이즈(THE BOYZ),14175743,42,https://www.youtube.com/watch?v=bTTczRe-Pj0
10,2223,지킬게 (KeePer) (Prod. 박경),371|더보이즈(THE BOYZ),7705904,38,https://www.youtube.com/watch?v=oR-QJtmn6ww
11,2361,TATTOO,371|더보이즈(THE BOYZ),8566531,32,https://www.youtube.com/watch?v=zCyZ5TtlW4Q
12,2424,화이트 (White),371|더보이즈(THE BOYZ),2103713,29,https://www.youtube.com/watch?v=Jo7Zrmknf8o
13,2579,Right Here,371|더보이즈(THE BOYZ),14456506,24,https://www.youtube.com/watch?v=JSEQiv5Z7p4
14,3394,우선순위,371|더보이즈(THE BOYZ),234707,9,https://www.youtube.com/watch?v=iN6xkOpNkeU
