,ranking,songName,artistName,playCount,increaseCount,link
0,147,딱 좋아 (Just right),521|GOT7 (갓세븐),387998735,3143,https://www.youtube.com/watch?v=vrdk3IGcau8
1,256,Never Ever,521|GOT7 (갓세븐),191011207,1510,https://www.youtube.com/watch?v=IZ1t7CwfvEc
2,258,니가 하면,521|GOT7 (갓세븐),204121676,1502,https://www.youtube.com/watch?v=T0iPB_JyS5g
3,327,하드캐리,521|GOT7 (갓세븐),114255285,1152,https://www.youtube.com/watch?v=O57jr1oZDIw
4,331,니가 부르는 나의 이름,521|GOT7 (갓세븐),119961276,1123,https://www.youtube.com/watch?v=xQI9oZEY-B0
5,389,NOT BY THE MOON,521|GOT7 (갓세븐),84069670,912,https://www.youtube.com/watch?v=ladClnnJhqg
6,419,앙코르(Encore),521|GOT7 (갓세븐),17641123,831,https://www.youtube.com/watch?v=tAe0yUEzAaI
7,431,Lullaby,521|GOT7 (갓세븐),122850790,777,https://www.youtube.com/watch?v=9RUeTYiJCyA
8,440,You Are,521|GOT7 (갓세븐),93762849,745,https://www.youtube.com/watch?v=ktc8XDBq93k
9,524,LAST PIECE,521|GOT7 (갓세븐),39651194,593,https://www.youtube.com/watch?v=z1gxHexN5DI
10,564,Breath (넌 날 숨 쉬게 해),521|GOT7 (갓세븐),44289687,528,https://www.youtube.com/watch?v=g5idjxf4jHI
11,639,A,521|GOT7 (갓세븐),118272387,445,https://www.youtube.com/watch?v=eISomx-VMow
12,677,Girls Girls Girls,521|GOT7 (갓세븐),97829146,413,https://www.youtube.com/watch?v=2sAoKmg7qPI
13,701,하지하지마,521|GOT7 (갓세븐),78761996,387,https://www.youtube.com/watch?v=R_DX64EwH9M
14,720,Fly,521|GOT7 (갓세븐),86864400,374,https://www.youtube.com/watch?v=Q4vFviZ4qw0
15,854,Look,521|GOT7 (갓세븐),93391449,279,https://www.youtube.com/watch?v=sS0LCjOiIhc
16,994,Miracle,521|GOT7 (갓세븐),42597440,213,https://www.youtube.com/watch?v=RtRtLf84I2M
17,1123,ECLIPSE,521|GOT7 (갓세븐),58211237,164,https://www.youtube.com/watch?v=6tl-MG38-0E
18,2519,고백송,521|GOT7 (갓세븐),18215235,26,https://www.youtube.com/watch?v=gNLF7ysoc6w
19,3082,너 하나만 (Feat. 효린),521|GOT7 (갓세븐),8846466,13,https://www.youtube.com/watch?v=A70B_LKyOrU
