,ranking,songName,artistName,playCount,increaseCount,link
0,921,별빛이 피면 (Star Blossom),"527|도영 (DOYOUNG),861|김세정",10881040,246,https://www.youtube.com/watch?v=lpv-mkmddms
1,1016,나의 모든 날,861|김세정,7234046,203,https://www.youtube.com/watch?v=bFLMKECxUMY
2,1222,Baby I Love U,861|김세정,663966,144,https://www.youtube.com/watch?v=y9pB01pxgBY
3,1807,재회 (再會),861|김세정,3061702,65,https://www.youtube.com/watch?v=OtJ-UB3CS_Y
4,1860,Warning (Feat. lIlBOI),861|김세정,10328788,61,https://www.youtube.com/watch?v=bMO8svA2dVw
5,2424,정인 (情人),861|김세정,1340606,29,https://www.youtube.com/watch?v=8P-06-8-5HM
6,3015,내 마음이 그렇대,861|김세정,278744,14,https://www.youtube.com/watch?v=PA3YKtCqXV0
7,4159,Whale,861|김세정,1009430,3,https://www.youtube.com/watch?v=qmV2yjyEJxA
8,4159,"우리는 하나 (We, the Reds)","861|김세정,974|레오 (LEO)",466841,3,https://www.youtube.com/watch?v=3r2vrjWKSpM
9,5196,만에 하나,861|김세정,7106661,0,https://www.youtube.com/watch?v=EmjhISspkyY
10,5196,꽃길 (Prod. By ZICO),861|김세정,1438495,0,https://www.youtube.com/watch?v=zumBqDr0FCk
11,5196,화분,861|김세정,416371,0,https://www.youtube.com/watch?v=vDdQv-safCs
12,5196,화분,861|김세정,80661,0,https://www.youtube.com/watch?v=wCopfuVivxc
