,ranking,songName,artistName,playCount,increaseCount,link
0,295,예뻤어,87|DAY6 (데이식스),50638796,1294,https://www.youtube.com/watch?v=BS7tz2rAOSA
1,468,I Loved You,87|DAY6 (데이식스),31697378,676,https://www.youtube.com/watch?v=EwLMA5XYnKI
2,470,Congratulations,87|DAY6 (데이식스),41983846,673,https://www.youtube.com/watch?v=x3sFsHrUyLQ
3,682,You make Me,87|DAY6 (데이식스),9560840,409,https://www.youtube.com/watch?v=HwcCBnfhsR4
4,786,Shoot Me,87|DAY6 (데이식스),45060710,317,https://www.youtube.com/watch?v=g2X2LdJAIpU
5,800,뚫고 지나가요,87|DAY6 (데이식스),3344604,305,https://www.youtube.com/watch?v=N2p__-LRBNc
6,870,Sweet Chaos,87|DAY6 (데이식스),14958652,271,https://www.youtube.com/watch?v=CWUGikRxGQs
7,882,좋아합니다,87|DAY6 (데이식스),13774949,265,https://www.youtube.com/watch?v=daoMYJv8i0c
8,1029,Zombie,87|DAY6 (데이식스),16895266,197,https://www.youtube.com/watch?v=k8gx-C7GCGU
9,1033,놓아 놓아 놓아,87|DAY6 (데이식스),22427373,196,https://www.youtube.com/watch?v=1-1TGNmQqZA
10,1277,아 왜 (I Wait),87|DAY6 (데이식스),28642477,134,https://www.youtube.com/watch?v=O3nFopIjmjI
11,1310,행복했던 날들이었다,87|DAY6 (데이식스),13330702,127,https://www.youtube.com/watch?v=1nk5O__ALI8
12,1342,DANCE DANCE,87|DAY6 (데이식스),9998103,122,https://www.youtube.com/watch?v=NAW0idSQ6Zs
13,1352,한 페이지가 될 수 있게,87|DAY6 (데이식스),11928302,120,https://www.youtube.com/watch?v=vnS_jn2uibs
14,1421,반드시 웃는다,87|DAY6 (데이식스),15645823,109,https://www.youtube.com/watch?v=g4V36AfI4Ng
15,1602,그렇더라고요,87|DAY6 (데이식스),10266060,85,https://www.youtube.com/watch?v=qWQ1xOfUNYQ
16,1712,어떻게 말해,87|DAY6 (데이식스),15243298,74,https://www.youtube.com/watch?v=dwywhL1PenQ
17,1728,좋은걸 뭐 어떡해,87|DAY6 (데이식스),11664769,72,https://www.youtube.com/watch?v=4RJWqIEo_Tc
18,1956,장난 아닌데,87|DAY6 (데이식스),12559583,53,https://www.youtube.com/watch?v=ZmHQbzbM8pI
19,2051,혼자야,87|DAY6 (데이식스),4807706,47,https://www.youtube.com/watch?v=Fd-elEnkInw
20,2160,Beautiful Feeling,87|DAY6 (데이식스),4245690,41,https://www.youtube.com/watch?v=ltBiIr_QXac
21,2266,Hi Hello,87|DAY6 (데이식스),8603722,36,https://www.youtube.com/watch?v=D7c7rBv-FUU
22,3394,Chocolate,87|DAY6 (데이식스),1923475,9,https://www.youtube.com/watch?v=zSUa0xPJ5_g
